Stock,RNN_R2,RNN_RMSE,RNN_MAE,RNN_MAPE,LSTM_R2,LSTM_RMSE,LSTM_MAE,LSTM_MAPE
Microsoft (1)_vs_Alphabet A,0.928880495,0.149163377,0.120977463,0.060951537,0.674612793,0.319056855,0.257686672,0.133575746
Microsoft (1)_vs_Apple (1),0.947399148,0.125159928,0.101672817,0.052754348,0.817990786,0.23281749,0.185009716,0.102845678
Microsoft (1)_vs_NVIDIA,0.979882517,0.153441265,0.132148279,0.040023822,0.930419112,0.285364756,0.209003122,0.063157144
Microsoft (1)_vs_Berkshire Hathaway B,0.943782831,0.144334768,0.109166425,0.051764569,0.836163075,0.246400943,0.189065621,0.103775767
Microsoft (1)_vs_JPMorgan,0.971456582,0.138701324,0.105784764,0.040776023,0.919527297,0.232890573,0.17442473,0.081914539
Microsoft (1)_vs_Eli Lilly,0.426527622,0.599641391,0.442843246,0.171308702,0.299266552,0.662844679,0.486302465,0.199655533
Microsoft (1)_vs_Novo Nordisk ADR,0.958660451,0.300136925,0.201934057,0.095937378,0.858756687,0.554779634,0.36451172,0.126185127
Microsoft (1)_vs_Amazon.com,0.937462296,0.156363167,0.121423259,0.046213592,0.939709566,0.153528037,0.125743067,0.05723089
Microsoft (1)_vs_Walmart (1),0.967010266,0.188014623,0.139830496,0.056632904,0.895151763,0.335183623,0.24364078,0.095453923
Microsoft (1)_vs_Coca-Cola,0.939837975,0.178104402,0.142518846,0.047606004,0.779009519,0.34135024,0.279905312,0.115091323
Microsoft (1)_vs_Exxon Mobil,0.976024258,0.107955529,0.083867486,0.040233129,0.815233074,0.299689123,0.243932153,0.113777559
Microsoft (1)_vs_Chevron,0.983011898,0.101205925,0.077137604,0.030795341,0.756803901,0.382923312,0.334178723,0.124481688
Microsoft (1)_vs_McDonald’s,0.965237932,0.173868751,0.128884541,0.051278911,0.91241077,0.275990468,0.227933516,0.118460586
Microsoft (1)_vs_Walt Disney,0.752219562,0.638194382,0.584902675,0.067292383,0.636634549,0.772843011,0.652597427,0.074231355
Microsoft (1)_vs_Caterpillar,0.925862499,0.156874892,0.132309601,0.068301556,0.874323411,0.20424981,0.162451284,0.092980564
Microsoft (1)_vs_Applied Materials,0.937460323,0.112509651,0.088902924,0.049339417,0.481824085,0.323854975,0.265812393,0.152975624
Alphabet A_vs_Apple (1),0.936614021,0.137817302,0.111278302,0.054249661,0.787384265,0.252409005,0.194152247,0.097197745
Alphabet A_vs_NVIDIA,0.977657228,0.184327708,0.139316369,0.045906637,0.796969287,0.555652106,0.361574634,0.100566735
Alphabet A_vs_Berkshire Hathaway B,0.966643359,0.110806094,0.090739823,0.041920582,0.538897782,0.411975223,0.315970174,0.144548784
Alphabet A_vs_JPMorgan,0.981772002,0.079228166,0.058656906,0.027499503,0.499114591,0.415316618,0.300928545,0.124107338
Alphabet A_vs_Eli Lilly,0.641414673,0.593336104,0.425226132,0.15031053,0.377242624,0.781922947,0.59768333,0.221422886
Alphabet A_vs_Novo Nordisk ADR,0.970264143,0.264495901,0.145207819,0.04571538,0.815015638,0.659699607,0.437409484,0.114803348
Alphabet A_vs_Amazon.com,0.845579703,0.155843675,0.134677769,0.065395678,0.708871998,0.213982855,0.171879488,0.086801781
Alphabet A_vs_Walmart (1),0.979739131,0.125239,0.092884103,0.039261492,0.677712534,0.499496284,0.309127962,0.11689476
Alphabet A_vs_Coca-Cola,0.964765034,0.162187703,0.121217296,0.041531582,0.862300684,0.320624635,0.244282272,0.097828796
Alphabet A_vs_Exxon Mobil,0.969961473,0.144300157,0.106796436,0.043884461,0.927819969,0.223684568,0.180349788,0.086545243
Alphabet A_vs_Chevron,0.964897506,0.179915141,0.115326342,0.035930433,0.89226966,0.315186598,0.271864932,0.106160792
Alphabet A_vs_McDonald’s,0.959559367,0.210542406,0.153507724,0.053381509,0.854889026,0.398823497,0.287801743,0.106870614
Alphabet A_vs_Walt Disney,0.989544363,0.169809081,0.147813466,0.019619421,0.899378671,0.526781713,0.428958644,0.054347056
Alphabet A_vs_Caterpillar,0.991939481,0.061081622,0.046675466,0.025230618,0.812480349,0.294613377,0.221973734,0.101449108
Alphabet A_vs_Applied Materials,0.780183693,0.312525981,0.236694423,0.107489589,0.257233067,0.574489974,0.470125096,0.225307145
Apple (1)_vs_NVIDIA,0.955558565,0.162632191,0.113953003,0.029380732,0.891892625,0.253653078,0.198050262,0.053985338
Apple (1)_vs_Berkshire Hathaway B,0.898675533,0.210463777,0.172369732,0.078691318,0.663811117,0.383364479,0.309250421,0.145268524
Apple (1)_vs_JPMorgan,0.990714593,0.081114035,0.060685704,0.035130157,0.855846159,0.31960138,0.233125436,0.10507039
Apple (1)_vs_Eli Lilly,0.90755068,0.278740021,0.237383357,0.082620278,0.088098622,0.875429956,0.721466358,0.246335685
Apple (1)_vs_Novo Nordisk ADR,0.988108435,0.197829877,0.130789171,0.034197692,0.832925337,0.74152821,0.536348983,0.12627765
Apple (1)_vs_Amazon.com,0.950052246,0.197407046,0.146312258,0.059350899,0.885879079,0.298392087,0.226433365,0.104214097
Apple (1)_vs_Walmart (1),0.948683542,0.21948598,0.162218474,0.093124824,0.887897672,0.324403674,0.244274086,0.12719166
Apple (1)_vs_Coca-Cola,0.982623424,0.140734356,0.107010086,0.042433312,0.904538648,0.329861642,0.254308344,0.103137195
Apple (1)_vs_Exxon Mobil,0.927424016,0.201263865,0.135626016,0.052313033,0.829775855,0.308233559,0.247510771,0.102341365
Apple (1)_vs_Chevron,0.987509847,0.115140907,0.089359008,0.03479841,0.931302386,0.270032846,0.217183044,0.082835605
Apple (1)_vs_McDonald’s,0.863771388,0.350536378,0.239132048,0.099175438,0.884131699,0.323281794,0.215936691,0.095346041
Apple (1)_vs_Walt Disney,0.95363266,0.356690216,0.332922818,0.041042855,0.93285836,0.429221118,0.349845073,0.045002497
Apple (1)_vs_Caterpillar,0.956872879,0.167839702,0.141474941,0.073215915,0.919636095,0.229113133,0.184320247,0.113649612
Apple (1)_vs_Applied Materials,0.982993107,0.118377702,0.08429477,0.037634486,0.727536926,0.473817658,0.329344003,0.132110017
NVIDIA_vs_Berkshire Hathaway B,0.92321713,0.244755345,0.162227357,0.046092566,0.882344786,0.302974168,0.231156886,0.076072102
NVIDIA_vs_JPMorgan,0.964604916,0.147067251,0.109512382,0.038062876,0.907206991,0.238123432,0.186011298,0.072376143
NVIDIA_vs_Eli Lilly,0.41743359,0.736119145,0.519830429,0.172445669,0.88566813,0.326106192,0.228355616,0.086238972
NVIDIA_vs_Novo Nordisk ADR,0.967068556,0.410345797,0.233673307,0.060241693,0.903875649,0.701069889,0.404068142,0.103118482
NVIDIA_vs_Amazon.com,0.848793117,0.621021276,0.442238036,0.116371702,0.869063406,0.577898034,0.44415081,0.128265647
NVIDIA_vs_Walmart (1),0.944053771,0.195824247,0.152914015,0.057046859,0.931161453,0.217218547,0.165215601,0.06761976
NVIDIA_vs_Coca-Cola,0.978164268,0.284623572,0.223230679,0.06303185,0.937565601,0.481281266,0.416737168,0.15322644
NVIDIA_vs_Exxon Mobil,0.876867559,0.599195501,0.372405603,0.081661117,0.949268533,0.384610388,0.3037164,0.105593635
NVIDIA_vs_Chevron,0.987332526,0.241445363,0.193203079,0.05138079,0.923035365,0.595140452,0.549729232,0.157743754
NVIDIA_vs_McDonald’s,0.942413212,0.451899842,0.361380925,0.073145847,0.943688125,0.446869546,0.402935285,0.125354229
NVIDIA_vs_Walt Disney,0.798242432,1.526477497,1.160210893,0.112859469,0.834299825,1.383365605,0.973656345,0.090623962
NVIDIA_vs_Caterpillar,0.964940396,0.135096059,0.112082894,0.041030115,0.916441039,0.208562245,0.165052123,0.06644725
NVIDIA_vs_Applied Materials,0.944004334,0.345643043,0.211903041,0.059934093,0.883051914,0.499513435,0.307298198,0.084381613
Mean,0.919182044,0.259532695,0.193942533,0.060947426,0.795486526,0.413639558,0.31451312,0.111042635
